Sequence_category,model,score
human,AB-LSTM,0.6554054021835327
human,AB-LSTM,0.8365486264228821
human,AB-LSTM,0.909752607345581
human,AB-LSTM,0.8215019702911377
human,AB-LSTM,0.4467184543609619
human,AB-LSTM,0.5730088949203491
human,AB-LSTM,0.5674770474433899
human,AB-LSTM,0.6051574945449829
human,AB-LSTM,0.6614423990249634
human,AB-LSTM,0.5728456974029541
human,AB-LSTM,0.9335535764694214
human,AB-LSTM,0.5233158469200134
human,AB-LSTM,0.7018282413482666
human,AB-LSTM,0.8697803616523743
human,AB-LSTM,1.1601985692977905
human,AB-LSTM,0.8995012640953064
human,AB-LSTM,1.2157031297683716
human,AB-LSTM,0.8676943182945251
human,AB-LSTM,0.6733812093734741
human,AB-LSTM,0.6945674419403076
human,AB-LSTM,0.6596591472625732
human,AB-LSTM,0.603543758392334
human,AB-LSTM,1.3167541027069092
human,AB-LSTM,0.8537318706512451
human,AB-LSTM,0.7935611605644226
human,AB-LSTM,1.354950189590454
human,AB-LSTM,0.6432977914810181
human,AB-LSTM,0.5503705143928528
human,AB-LSTM,0.7968930602073669
human,AB-LSTM,0.9949596524238586
human,AB-LSTM,1.1391932964324951
human,AB-LSTM,0.5047845840454102
human,AB-LSTM,1.1900259256362915
human,AB-LSTM,0.6254026293754578
human,AB-LSTM,0.5012706518173218
human,AB-LSTM,0.6389984488487244
human,AB-LSTM,0.5114447474479675
human,AB-LSTM,0.6554752588272095
human,AB-LSTM,0.7036893367767334
human,AB-LSTM,0.6422263979911804
human,AB-LSTM,0.8144081830978394
human,AB-LSTM,0.4636164903640747
human,AB-LSTM,0.7148331999778748
human,AB-LSTM,0.9305422306060791
human,AB-LSTM,1.022736668586731
human,AB-LSTM,0.5394287705421448
human,AB-LSTM,1.2516283988952637
human,AB-LSTM,0.973853349685669
human,AB-LSTM,0.7454336881637573
human,AB-LSTM,0.5159105062484741
human,AB-LSTM,1.2161831855773926
human,AB-LSTM,0.9830244183540344
human,AB-LSTM,0.5733349919319153
human,AB-LSTM,0.7836114764213562
human,AB-LSTM,0.7030496597290039
human,AB-LSTM,1.1472270488739014
human,AB-LSTM,0.5791820883750916
human,AB-LSTM,0.5837233066558838
human,AB-LSTM,0.9884440898895264
human,AB-LSTM,0.440406858921051
human,AB-LSTM,0.5465680956840515
human,AB-LSTM,0.5260451436042786
human,AB-LSTM,1.1266974210739136
human,AB-LSTM,0.647094190120697
human,AB-LSTM,1.5218558311462402
human,AB-LSTM,1.130213975906372
human,AB-LSTM,0.6589183211326599
human,AB-LSTM,0.6757527589797974
human,AB-LSTM,0.516322135925293
human,AB-LSTM,0.5346854329109192
human,AB-LSTM,0.5211032032966614
human,AB-LSTM,1.1478692293167114
human,AB-LSTM,1.0501519441604614
human,AB-LSTM,0.4319840371608734
human,AB-LSTM,0.8755905032157898
human,AB-LSTM,0.6722233891487122
human,AB-LSTM,0.7582941055297852
human,AB-LSTM,0.871557891368866
human,AB-LSTM,0.626523494720459
human,AB-LSTM,1.4675878286361694
human,AB-LSTM,0.5817168951034546
human,AB-LSTM,0.5507034063339233
human,AB-LSTM,0.7590803503990173
human,AB-LSTM,0.5598041415214539
human,AB-LSTM,0.9355654120445251
human,AB-LSTM,0.618533730506897
human,AB-LSTM,1.1064759492874146
human,AB-LSTM,0.527243435382843
human,AB-LSTM,1.251600980758667
human,AB-LSTM,0.4711882174015045
human,AB-LSTM,0.9921755790710449
human,AB-LSTM,0.6136877536773682
human,AB-LSTM,1.3237241506576538
human,AB-LSTM,0.4337441325187683
human,AB-LSTM,0.5834454298019409
human,AB-LSTM,0.580662190914154
human,AB-LSTM,0.4821569323539734
human,AB-LSTM,0.5444510579109192
human,AB-LSTM,0.5546613931655884
human,AB-LSTM,1.0789670944213867
human,AB-LSTM,0.7985590100288391
human,AB-LSTM,0.5332773923873901
human,AB-LSTM,0.6221274733543396
human,AB-LSTM,0.5209852457046509
human,AB-LSTM,0.9541432857513428
human,AB-LSTM,0.7955217361450195
human,AB-LSTM,0.5194541215896606
human,AB-LSTM,0.7821275591850281
human,AB-LSTM,0.6522747278213501
human,AB-LSTM,1.2588781118392944
human,AB-LSTM,0.6001834869384766
human,AB-LSTM,0.5164616107940674
human,AB-LSTM,0.41563957929611206
human,AB-LSTM,0.7930567860603333
human,AB-LSTM,0.7369654178619385
human,AB-LSTM,0.4709104597568512
